ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2022,"2022","1191XX","Other managers","true","true",293113,185770.84145363735,6224.934799865941,13279.248172504282,14376,"Engineering","14"
2022,"2022","151252","Software developers","true","true",426806,156068.59752674517,3980.3335415379192,16016.95335311553,19684,"Engineering","14"
2022,"2022","172051","Civil engineers","true","true",293116,114908.23524474952,3416.480594537461,13279.31599742686,14270,"Engineering","14"
2022,"2022","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",354623,128845.29407850027,3503.4078568607274,14603.313423077194,17234,"Engineering","14"
2022,"2022","291210","Physicians","true","true",34921,285239.09627444803,27657.13504572906,4587.4172185359275,1812,"Engineering","14"
2021,"2021","1191XX","Other managers","true","true",291936,170766.85640688371,5696.648966918169,13252.499319182554,14286,"Engineering","14"
2021,"2021","151252","Software developers","true","true",391283,142106.77027368938,3648.4963994292866,15337.552754189444,17848,"Engineering","14"
2021,"2021","172051","Civil engineers","true","true",276110,106776.70042374416,3242.6813486741667,12888.959658641537,13369,"Engineering","14"
2021,"2021","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",344943,118495.47956039113,3128.17743903474,14402.939637672744,16735,"Engineering","14"
2021,"2021","291210","Physicians","true","true",34369,263477.8674677762,25235.79896042042,4551.019640497275,1786,"Engineering","14"
2020,"2020","1191XX","Other managers","true","true",287437,161608.3902211615,5423.7123201052555,13150.044832862042,14235,"Engineering","14"
2020,"2020","151252","Software developers","true","true",355498,131780.892213177,3427.639428485218,14620.936128793852,16223,"Engineering","14"
2020,"2020","172051","Civil engineers","true","true",261863,101565.4294650256,3083.475373951123,12552.501072033569,12781,"Engineering","14"
2020,"2020","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",326325,112194.80943844326,2964.619032522225,14009.55499359656,15995,"Engineering","14"
